2024-06-03 19:14:56,502 WARN  SumoGuiAmbassador - The file scenarios/npr/sumo/sumo_config.json does not exist.
2024-06-03 19:14:56,505 INFO  SumoGuiAmbassador - sumoConfig.updateInterval: 1000
2024-06-03 19:14:56,506 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: null
2024-06-03 19:14:56,514 INFO  SumoGuiAmbassador - Found a SUMO configuration file: scenarios/npr/sumo/npr.sumocfg
2024-06-03 19:14:56,515 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: npr.sumocfg
2024-06-03 19:14:56,596 INFO  SumoGuiAmbassador - Simulation step size is 1.0 sec.
2024-06-03 19:14:57,505 INFO  SumoVehicleTypesWriter - ./tmp/sumo/mosaic_types.add.xml file successfully written.
2024-06-03 19:14:57,505 INFO  SumoGuiAmbassador - Start Federate local
2024-06-03 19:14:57,505 INFO  SumoGuiAmbassador - Directory: ./tmp/sumo
2024-06-03 19:14:57,513 WARN  SumoGuiAmbassador - Error while connecting to SUMO. Retrying.
2024-06-03 19:14:58,530 INFO  SumoGuiAmbassador - Process sumo: Loading configuration ... done.
2024-06-03 19:14:59,682 WARN  TraciClientBridge - This TraCI API version 21 is currently not supported (but might work anyhow).
2024-06-03 19:14:59,690 INFO  SumoGuiAmbassador - Current API version of SUMO is 20 (=SUMO 1.18.*)
2024-06-03 19:14:59,788 WARN  TrafficLightGetControlledJunctions - Could not return list of controlled junctions for traffic light. Not implemented in SUMO yet.
2024-06-03 19:14:59,907 INFO  SumoGuiAmbassador - TrafficLightSubscription interaction received at simulation time 0.000,000,000 s: Subscribe to Traffic light group with ID=J9
2024-06-03 19:14:59,921 INFO  SumoGuiAmbassador - Receive TrafficLightStateChange request
2024-06-03 19:14:59,921 INFO  SumoGuiAmbassador - Changing program of traffic light group 'J9' to program id '0'
2024-06-03 19:14:59,948 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_0" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:14:59,948 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_1" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:14:59,948 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_2" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:14:59,948 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_3" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:14:59,948 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_4" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:14:59,948 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_5" received at simulation time 5000000000 ns (subscribe=true)
