2024-06-03 18:15:10,305 WARN  SumoGuiAmbassador - The file scenarios/npr/sumo/sumo_config.json does not exist.
2024-06-03 18:15:10,305 INFO  SumoGuiAmbassador - sumoConfig.updateInterval: 1000
2024-06-03 18:15:10,306 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: null
2024-06-03 18:15:10,309 INFO  SumoGuiAmbassador - Found a SUMO configuration file: scenarios/npr/sumo/npr.sumocfg
2024-06-03 18:15:10,310 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: npr.sumocfg
2024-06-03 18:15:10,325 INFO  SumoGuiAmbassador - Simulation step size is 1.0 sec.
2024-06-03 18:15:11,035 INFO  SumoVehicleTypesWriter - ./tmp/sumo/mosaic_types.add.xml file successfully written.
2024-06-03 18:15:11,035 INFO  SumoGuiAmbassador - Start Federate local
2024-06-03 18:15:11,035 INFO  SumoGuiAmbassador - Directory: ./tmp/sumo
2024-06-03 18:15:11,043 WARN  SumoGuiAmbassador - Error while connecting to SUMO. Retrying.
2024-06-03 18:15:12,058 INFO  SumoGuiAmbassador - Process sumo: Loading configuration ... done.
2024-06-03 18:15:13,340 WARN  TraciClientBridge - This TraCI API version 21 is currently not supported (but might work anyhow).
2024-06-03 18:15:13,351 INFO  SumoGuiAmbassador - Current API version of SUMO is 20 (=SUMO 1.18.*)
2024-06-03 18:15:13,416 WARN  TrafficLightGetControlledJunctions - Could not return list of controlled junctions for traffic light. Not implemented in SUMO yet.
2024-06-03 18:15:13,533 INFO  SumoGuiAmbassador - TrafficLightSubscription interaction received at simulation time 0.000,000,000 s: Subscribe to Traffic light group with ID=J9
2024-06-03 18:15:13,547 INFO  SumoGuiAmbassador - Receive TrafficLightStateChange request
2024-06-03 18:15:13,548 INFO  SumoGuiAmbassador - Changing program of traffic light group 'J9' to program id '0'
2024-06-03 18:15:13,578 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_0" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:15:13,578 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_1" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:15:13,579 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_2" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:15:13,579 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_3" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:15:13,579 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_4" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:15:13,579 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_5" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:15:13,580 INFO  SumoGuiAmbassador - Adding new vehicle "veh_0" at simulation time 5000000000 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2024-06-03 18:15:13,582 INFO  SumoGuiAmbassador - Adding new vehicle "veh_1" at simulation time 5000000000 ns (type=Car, routeId=r_2, laneId=best, departPos=0.00)
2024-06-03 18:15:13,583 INFO  SumoGuiAmbassador - Adding new vehicle "veh_2" at simulation time 5000000000 ns (type=Car, routeId=r_1, laneId=best, departPos=0.00)
2024-06-03 18:15:13,584 INFO  SumoGuiAmbassador - Adding new vehicle "veh_3" at simulation time 5000000000 ns (type=Car, routeId=r_4, laneId=best, departPos=0.00)
2024-06-03 18:15:13,585 INFO  SumoGuiAmbassador - Adding new vehicle "veh_4" at simulation time 5000000000 ns (type=Car, routeId=r_3, laneId=best, departPos=0.00)
2024-06-03 18:15:13,586 INFO  SumoGuiAmbassador - Adding new vehicle "veh_5" at simulation time 5000000000 ns (type=Car, routeId=r_5, laneId=best, departPos=0.00)
2024-06-03 18:15:13,673 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 13.224,785,363 s: vehicleId="veh_3", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:15:13,674 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 13.229,738,016 s: vehicleId="veh_5", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:15:13,682 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 14.000,900,000 s: vehicleId="veh_3", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:15:13,691 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 14.625,859,252 s: vehicleId="veh_1", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:15:13,709 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 15.323,254,660 s: vehicleId="veh_0", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:15:13,717 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 16.000,900,000 s: vehicleId="veh_4", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:15:13,717 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 16.001,300,000 s: vehicleId="veh_0", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:15:13,718 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 16.001,400,000 s: vehicleId="veh_0", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:15:13,719 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 16.001,400,000 s: vehicleId="veh_1", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:15:13,719 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 16.001,800,000 s: vehicleId="veh_2", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:15:13,720 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 16.002,300,000 s: vehicleId="veh_3", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:15:13,721 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 16.002,400,000 s: vehicleId="veh_5", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:15:13,721 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 16.002,400,000 s: vehicleId="veh_3", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:15:13,722 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 16.002,800,000 s: vehicleId="veh_1", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:15:13,722 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 16.003,300,000 s: vehicleId="veh_5", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:15:13,723 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 16.019,111,819 s: vehicleId="veh_4", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:15:13,735 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 18.000,400,000 s: vehicleId="veh_1", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:15:13,762 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 20.216,534,495 s: vehicleId="veh_2", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:15:13,778 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 22.001,900,000 s: vehicleId="veh_5", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:15:13,803 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 26.001,400,000 s: vehicleId="veh_0", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:15:13,809 INFO  SimulationFacade - Removed vehicle "veh_3" at simulation time 28000000000ns
2024-06-03 18:15:13,815 INFO  SimulationFacade - Removed vehicle "veh_1" at simulation time 29000000000ns
