2024-06-03 18:12:49,093 WARN  SumoGuiAmbassador - The file scenarios/npr/sumo/sumo_config.json does not exist.
2024-06-03 18:12:49,094 INFO  SumoGuiAmbassador - sumoConfig.updateInterval: 1000
2024-06-03 18:12:49,095 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: null
2024-06-03 18:12:49,100 INFO  SumoGuiAmbassador - Found a SUMO configuration file: scenarios/npr/sumo/npr.sumocfg
2024-06-03 18:12:49,101 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: npr.sumocfg
2024-06-03 18:12:49,128 INFO  SumoGuiAmbassador - Simulation step size is 1.0 sec.
2024-06-03 18:12:49,938 INFO  SumoVehicleTypesWriter - ./tmp/sumo/mosaic_types.add.xml file successfully written.
2024-06-03 18:12:49,938 INFO  SumoGuiAmbassador - Start Federate local
2024-06-03 18:12:49,938 INFO  SumoGuiAmbassador - Directory: ./tmp/sumo
2024-06-03 18:12:49,946 WARN  SumoGuiAmbassador - Error while connecting to SUMO. Retrying.
2024-06-03 18:12:50,959 INFO  SumoGuiAmbassador - Process sumo: Loading configuration ... done.
2024-06-03 18:12:53,202 WARN  TraciClientBridge - This TraCI API version 21 is currently not supported (but might work anyhow).
2024-06-03 18:12:53,212 INFO  SumoGuiAmbassador - Current API version of SUMO is 20 (=SUMO 1.18.*)
2024-06-03 18:12:53,274 WARN  TrafficLightGetControlledJunctions - Could not return list of controlled junctions for traffic light. Not implemented in SUMO yet.
2024-06-03 18:12:53,392 INFO  SumoGuiAmbassador - TrafficLightSubscription interaction received at simulation time 0.000,000,000 s: Subscribe to Traffic light group with ID=J9
2024-06-03 18:12:53,403 INFO  SumoGuiAmbassador - Receive TrafficLightStateChange request
2024-06-03 18:12:53,404 INFO  SumoGuiAmbassador - Changing program of traffic light group 'J9' to program id '0'
2024-06-03 18:12:53,430 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_0" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:12:53,430 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_1" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:12:53,430 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_2" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:12:53,430 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_3" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:12:53,431 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_4" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:12:53,431 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_5" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:12:53,431 INFO  SumoGuiAmbassador - Adding new vehicle "veh_0" at simulation time 5000000000 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2024-06-03 18:12:53,433 INFO  SumoGuiAmbassador - Adding new vehicle "veh_1" at simulation time 5000000000 ns (type=Car, routeId=r_2, laneId=best, departPos=0.00)
2024-06-03 18:12:53,434 INFO  SumoGuiAmbassador - Adding new vehicle "veh_2" at simulation time 5000000000 ns (type=Car, routeId=r_1, laneId=best, departPos=0.00)
2024-06-03 18:12:53,435 INFO  SumoGuiAmbassador - Adding new vehicle "veh_3" at simulation time 5000000000 ns (type=Car, routeId=r_4, laneId=best, departPos=0.00)
2024-06-03 18:12:53,436 INFO  SumoGuiAmbassador - Adding new vehicle "veh_4" at simulation time 5000000000 ns (type=Car, routeId=r_3, laneId=best, departPos=0.00)
2024-06-03 18:12:53,436 INFO  SumoGuiAmbassador - Adding new vehicle "veh_5" at simulation time 5000000000 ns (type=Car, routeId=r_5, laneId=best, departPos=0.00)
2024-06-03 18:12:53,527 INFO  SumoGuiAmbassador - Receive VehicleStop request at simulation time 13.224,785,363 s: vehicleId="veh_3", edgeId="-E7", position="0.2688903882627187", laneIndex=0, duration=999000000000, stopMode=STOP
2024-06-03 18:12:53,528 INFO  SumoGuiAmbassador - Receive VehicleStop request at simulation time 13.229,738,016 s: vehicleId="veh_5", edgeId="-E7", position="0.4779486089016416", laneIndex=0, duration=999000000000, stopMode=STOP
2024-06-03 18:12:53,541 INFO  SumoGuiAmbassador - Receive VehicleStop request at simulation time 14.618,493,418 s: vehicleId="veh_1", edgeId="-E9", position="99.5360619981823", laneIndex=0, duration=999000000000, stopMode=STOP
2024-06-03 18:12:53,550 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.000,400,000 s: vehicleId="veh_5", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:12:53,551 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.000,400,000 s: vehicleId="veh_2", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:12:53,552 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.000,800,000 s: vehicleId="veh_4", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:12:53,553 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.000,900,000 s: vehicleId="veh_0", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:12:53,554 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.001,300,000 s: vehicleId="veh_3", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:12:53,555 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.001,300,000 s: vehicleId="veh_0", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:12:53,556 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.001,400,000 s: vehicleId="veh_3", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:12:53,557 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.001,800,000 s: vehicleId="veh_1", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:12:53,558 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.001,900,000 s: vehicleId="veh_4", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:12:53,560 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.002,800,000 s: vehicleId="veh_2", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 18:12:53,562 INFO  SumoGuiAmbassador - Receive VehicleStop request at simulation time 15.319,941,242 s: vehicleId="veh_0", edgeId="E7", position="98.56021552804", laneIndex=0, duration=999000000000, stopMode=STOP
2024-06-03 18:12:53,570 INFO  SumoGuiAmbassador - Receive VehicleStop request at simulation time 16.017,433,345 s: vehicleId="veh_4", edgeId="-E10", position="99.9490000000474", laneIndex=0, duration=999000000000, stopMode=STOP
2024-06-03 18:12:53,693 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_6" received at simulation time 41000000000 ns (subscribe=true)
2024-06-03 18:12:53,693 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_7" received at simulation time 41000000000 ns (subscribe=true)
2024-06-03 18:12:53,693 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_8" received at simulation time 41000000000 ns (subscribe=true)
2024-06-03 18:12:53,693 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_9" received at simulation time 41000000000 ns (subscribe=true)
2024-06-03 18:12:53,693 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_10" received at simulation time 41000000000 ns (subscribe=true)
2024-06-03 18:12:53,693 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_11" received at simulation time 41000000000 ns (subscribe=true)
2024-06-03 18:12:53,696 INFO  SumoGuiAmbassador - Adding new vehicle "veh_6" at simulation time 41000000000 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2024-06-03 18:12:53,697 INFO  SumoGuiAmbassador - Adding new vehicle "veh_7" at simulation time 41000000000 ns (type=Car, routeId=r_2, laneId=best, departPos=0.00)
