2024-06-03 19:58:54,796 WARN  SumoGuiAmbassador - The file scenarios/npr/sumo/sumo_config.json does not exist.
2024-06-03 19:58:54,798 INFO  SumoGuiAmbassador - sumoConfig.updateInterval: 1000
2024-06-03 19:58:54,799 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: null
2024-06-03 19:58:54,806 INFO  SumoGuiAmbassador - Found a SUMO configuration file: scenarios/npr/sumo/npr.sumocfg
2024-06-03 19:58:54,807 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: npr.sumocfg
2024-06-03 19:58:54,839 INFO  SumoGuiAmbassador - Simulation step size is 1.0 sec.
2024-06-03 19:58:56,079 INFO  SumoVehicleTypesWriter - ./tmp/sumo/mosaic_types.add.xml file successfully written.
2024-06-03 19:58:56,079 INFO  SumoGuiAmbassador - Start Federate local
2024-06-03 19:58:56,079 INFO  SumoGuiAmbassador - Directory: ./tmp/sumo
2024-06-03 19:58:56,086 WARN  SumoGuiAmbassador - Error while connecting to SUMO. Retrying.
2024-06-03 19:58:57,098 INFO  SumoGuiAmbassador - Process sumo: Loading configuration ... done.
2024-06-03 19:58:58,347 WARN  TraciClientBridge - This TraCI API version 21 is currently not supported (but might work anyhow).
2024-06-03 19:58:58,358 INFO  SumoGuiAmbassador - Current API version of SUMO is 20 (=SUMO 1.18.*)
2024-06-03 19:58:58,448 WARN  TrafficLightGetControlledJunctions - Could not return list of controlled junctions for traffic light. Not implemented in SUMO yet.
2024-06-03 19:58:58,571 INFO  SumoGuiAmbassador - TrafficLightSubscription interaction received at simulation time 0.000,000,000 s: Subscribe to Traffic light group with ID=J9
2024-06-03 19:58:58,588 INFO  SumoGuiAmbassador - Receive TrafficLightStateChange request
2024-06-03 19:58:58,589 INFO  SumoGuiAmbassador - Changing program of traffic light group 'J9' to program id '0'
2024-06-03 19:58:58,624 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_0" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:58:58,624 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_1" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:58:58,624 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_2" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:58:58,624 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_3" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:58:58,625 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_4" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:58:58,625 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_5" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:58:58,626 INFO  SumoGuiAmbassador - Adding new vehicle "veh_0" at simulation time 5000000000 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2024-06-03 19:58:58,631 INFO  SumoGuiAmbassador - Adding new vehicle "veh_1" at simulation time 5000000000 ns (type=Car, routeId=r_2, laneId=best, departPos=0.00)
2024-06-03 19:58:58,632 INFO  SumoGuiAmbassador - Adding new vehicle "veh_2" at simulation time 5000000000 ns (type=Car, routeId=r_1, laneId=best, departPos=0.00)
2024-06-03 19:58:58,635 INFO  SumoGuiAmbassador - Adding new vehicle "veh_3" at simulation time 5000000000 ns (type=Car, routeId=r_4, laneId=best, departPos=0.00)
2024-06-03 19:58:58,636 INFO  SumoGuiAmbassador - Adding new vehicle "veh_4" at simulation time 5000000000 ns (type=Car, routeId=r_3, laneId=best, departPos=0.00)
2024-06-03 19:58:58,637 INFO  SumoGuiAmbassador - Adding new vehicle "veh_5" at simulation time 5000000000 ns (type=Car, routeId=r_5, laneId=best, departPos=0.00)
2024-06-03 19:58:58,768 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 13.223,997,571 s: vehicleId="veh_5", targetSpeed=0.0m/s, interval=0ms
2024-06-03 19:58:58,768 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 13.224,493,580 s: vehicleId="veh_3", targetSpeed=0.0m/s, interval=0ms
2024-06-03 19:58:58,790 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 14.614,182,037 s: vehicleId="veh_1", targetSpeed=0.0m/s, interval=0ms
2024-06-03 19:58:58,790 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 14.628,840,609 s: vehicleId="veh_0", targetSpeed=0.0m/s, interval=0ms
2024-06-03 19:58:59,001 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_6" received at simulation time 41000000000 ns (subscribe=true)
2024-06-03 19:58:59,001 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_7" received at simulation time 41000000000 ns (subscribe=true)
2024-06-03 19:58:59,001 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_8" received at simulation time 41000000000 ns (subscribe=true)
2024-06-03 19:58:59,001 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_9" received at simulation time 41000000000 ns (subscribe=true)
2024-06-03 19:58:59,001 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_10" received at simulation time 41000000000 ns (subscribe=true)
2024-06-03 19:58:59,001 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_11" received at simulation time 41000000000 ns (subscribe=true)
2024-06-03 19:58:59,006 INFO  SumoGuiAmbassador - Adding new vehicle "veh_6" at simulation time 41000000000 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2024-06-03 19:58:59,007 INFO  SumoGuiAmbassador - Adding new vehicle "veh_7" at simulation time 41000000000 ns (type=Car, routeId=r_2, laneId=best, departPos=0.00)
2024-06-03 19:58:59,008 INFO  SumoGuiAmbassador - Adding new vehicle "veh_8" at simulation time 41000000000 ns (type=Car, routeId=r_1, laneId=best, departPos=0.00)
2024-06-03 19:58:59,009 INFO  SumoGuiAmbassador - Adding new vehicle "veh_9" at simulation time 41000000000 ns (type=Car, routeId=r_4, laneId=best, departPos=0.00)
2024-06-03 19:58:59,011 INFO  SumoGuiAmbassador - Adding new vehicle "veh_10" at simulation time 41000000000 ns (type=Car, routeId=r_3, laneId=best, departPos=0.00)
2024-06-03 19:58:59,012 INFO  SumoGuiAmbassador - Adding new vehicle "veh_11" at simulation time 41000000000 ns (type=Car, routeId=r_5, laneId=best, departPos=0.00)
2024-06-03 19:58:59,117 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 50.321,500,803 s: vehicleId="veh_11", targetSpeed=0.0m/s, interval=0ms
2024-06-03 19:58:59,371 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_12" received at simulation time 77000000000 ns (subscribe=true)
2024-06-03 19:58:59,371 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_13" received at simulation time 77000000000 ns (subscribe=true)
2024-06-03 19:58:59,371 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_14" received at simulation time 77000000000 ns (subscribe=true)
2024-06-03 19:58:59,371 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_15" received at simulation time 77000000000 ns (subscribe=true)
2024-06-03 19:58:59,371 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_16" received at simulation time 77000000000 ns (subscribe=true)
2024-06-03 19:58:59,371 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_17" received at simulation time 77000000000 ns (subscribe=true)
