2024-06-03 18:10:32,370 WARN  SumoGuiAmbassador - The file scenarios/npr/sumo/sumo_config.json does not exist.
2024-06-03 18:10:32,372 INFO  SumoGuiAmbassador - sumoConfig.updateInterval: 1000
2024-06-03 18:10:32,373 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: null
2024-06-03 18:10:32,378 INFO  SumoGuiAmbassador - Found a SUMO configuration file: scenarios/npr/sumo/npr.sumocfg
2024-06-03 18:10:32,378 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: npr.sumocfg
2024-06-03 18:10:32,409 INFO  SumoGuiAmbassador - Simulation step size is 1.0 sec.
2024-06-03 18:10:33,234 INFO  SumoVehicleTypesWriter - ./tmp/sumo/mosaic_types.add.xml file successfully written.
2024-06-03 18:10:33,235 INFO  SumoGuiAmbassador - Start Federate local
2024-06-03 18:10:33,235 INFO  SumoGuiAmbassador - Directory: ./tmp/sumo
2024-06-03 18:10:33,243 WARN  SumoGuiAmbassador - Error while connecting to SUMO. Retrying.
2024-06-03 18:10:34,255 INFO  SumoGuiAmbassador - Process sumo: Loading configuration ... done.
2024-06-03 18:10:35,282 WARN  TraciClientBridge - This TraCI API version 21 is currently not supported (but might work anyhow).
2024-06-03 18:10:35,294 INFO  SumoGuiAmbassador - Current API version of SUMO is 20 (=SUMO 1.18.*)
2024-06-03 18:10:35,377 WARN  TrafficLightGetControlledJunctions - Could not return list of controlled junctions for traffic light. Not implemented in SUMO yet.
2024-06-03 18:10:35,503 INFO  SumoGuiAmbassador - TrafficLightSubscription interaction received at simulation time 0.000,000,000 s: Subscribe to Traffic light group with ID=J9
2024-06-03 18:10:35,522 INFO  SumoGuiAmbassador - Receive TrafficLightStateChange request
2024-06-03 18:10:35,523 INFO  SumoGuiAmbassador - Changing program of traffic light group 'J9' to program id '0'
2024-06-03 18:10:35,555 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_0" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:10:35,556 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_1" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:10:35,556 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_2" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:10:35,556 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_3" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:10:35,556 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_4" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:10:35,556 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_5" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 18:10:35,558 INFO  SumoGuiAmbassador - Adding new vehicle "veh_0" at simulation time 5000000000 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2024-06-03 18:10:35,560 INFO  SumoGuiAmbassador - Adding new vehicle "veh_1" at simulation time 5000000000 ns (type=Car, routeId=r_2, laneId=best, departPos=0.00)
2024-06-03 18:10:35,561 INFO  SumoGuiAmbassador - Adding new vehicle "veh_2" at simulation time 5000000000 ns (type=Car, routeId=r_1, laneId=best, departPos=0.00)
2024-06-03 18:10:35,563 INFO  SumoGuiAmbassador - Adding new vehicle "veh_3" at simulation time 5000000000 ns (type=Car, routeId=r_4, laneId=best, departPos=0.00)
2024-06-03 18:10:35,564 INFO  SumoGuiAmbassador - Adding new vehicle "veh_4" at simulation time 5000000000 ns (type=Car, routeId=r_3, laneId=best, departPos=0.00)
2024-06-03 18:10:35,565 INFO  SumoGuiAmbassador - Adding new vehicle "veh_5" at simulation time 5000000000 ns (type=Car, routeId=r_5, laneId=best, departPos=0.00)
2024-06-03 18:10:35,649 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 13.234,045,055 s: vehicleId="veh_5", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:10:35,664 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 14.615,403,933 s: vehicleId="veh_3", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:10:35,664 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 14.622,269,428 s: vehicleId="veh_1", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:10:35,680 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 15.317,683,559 s: vehicleId="veh_0", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:10:35,691 INFO  SumoGuiAmbassador - Receive VehicleSpeedChange request at simulation time 16.019,860,330 s: vehicleId="veh_4", targetSpeed=0.0m/s, interval=0ms
2024-06-03 18:10:35,816 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_6" received at simulation time 41000000000 ns (subscribe=true)
2024-06-03 18:10:35,816 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_7" received at simulation time 41000000000 ns (subscribe=true)
2024-06-03 18:10:35,816 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_8" received at simulation time 41000000000 ns (subscribe=true)
