2024-06-03 19:54:33,813 WARN  SumoGuiAmbassador - The file scenarios/npr/sumo/sumo_config.json does not exist.
2024-06-03 19:54:33,815 INFO  SumoGuiAmbassador - sumoConfig.updateInterval: 1000
2024-06-03 19:54:33,816 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: null
2024-06-03 19:54:33,821 INFO  SumoGuiAmbassador - Found a SUMO configuration file: scenarios/npr/sumo/npr.sumocfg
2024-06-03 19:54:33,822 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: npr.sumocfg
2024-06-03 19:54:33,843 INFO  SumoGuiAmbassador - Simulation step size is 1.0 sec.
2024-06-03 19:54:34,843 INFO  SumoVehicleTypesWriter - ./tmp/sumo/mosaic_types.add.xml file successfully written.
2024-06-03 19:54:34,843 INFO  SumoGuiAmbassador - Start Federate local
2024-06-03 19:54:34,843 INFO  SumoGuiAmbassador - Directory: ./tmp/sumo
2024-06-03 19:54:34,864 WARN  SumoGuiAmbassador - Error while connecting to SUMO. Retrying.
2024-06-03 19:54:35,878 INFO  SumoGuiAmbassador - Process sumo: Loading configuration ... done.
2024-06-03 19:54:37,453 WARN  TraciClientBridge - This TraCI API version 21 is currently not supported (but might work anyhow).
2024-06-03 19:54:37,461 INFO  SumoGuiAmbassador - Current API version of SUMO is 20 (=SUMO 1.18.*)
2024-06-03 19:54:37,553 WARN  TrafficLightGetControlledJunctions - Could not return list of controlled junctions for traffic light. Not implemented in SUMO yet.
2024-06-03 19:54:37,685 INFO  SumoGuiAmbassador - TrafficLightSubscription interaction received at simulation time 0.000,000,000 s: Subscribe to Traffic light group with ID=J9
2024-06-03 19:54:37,706 INFO  SumoGuiAmbassador - Receive TrafficLightStateChange request
2024-06-03 19:54:37,707 INFO  SumoGuiAmbassador - Changing program of traffic light group 'J9' to program id '0'
2024-06-03 19:54:37,732 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_0" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:54:37,732 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_1" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:54:37,733 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_2" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:54:37,733 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_3" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:54:37,733 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_4" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:54:37,733 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_5" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:54:37,734 INFO  SumoGuiAmbassador - Adding new vehicle "veh_0" at simulation time 5000000000 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2024-06-03 19:54:37,737 INFO  SumoGuiAmbassador - Adding new vehicle "veh_1" at simulation time 5000000000 ns (type=Car, routeId=r_2, laneId=best, departPos=0.00)
2024-06-03 19:54:37,739 INFO  SumoGuiAmbassador - Adding new vehicle "veh_2" at simulation time 5000000000 ns (type=Car, routeId=r_1, laneId=best, departPos=0.00)
2024-06-03 19:54:37,742 INFO  SumoGuiAmbassador - Adding new vehicle "veh_3" at simulation time 5000000000 ns (type=Car, routeId=r_4, laneId=best, departPos=0.00)
2024-06-03 19:54:37,745 INFO  SumoGuiAmbassador - Adding new vehicle "veh_4" at simulation time 5000000000 ns (type=Car, routeId=r_3, laneId=best, departPos=0.00)
2024-06-03 19:54:37,747 INFO  SumoGuiAmbassador - Adding new vehicle "veh_5" at simulation time 5000000000 ns (type=Car, routeId=r_5, laneId=best, departPos=0.00)
2024-06-03 19:54:37,915 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.000,400,000 s: vehicleId="veh_0", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 19:54:37,918 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.000,800,000 s: vehicleId="veh_4", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 19:54:37,919 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.000,800,000 s: vehicleId="veh_5", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 19:54:37,919 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.000,800,000 s: vehicleId="veh_1", targetSpeed=3.0m/s, interval=5000000000ms
