2024-06-03 18:09:45,671 INFO  VehicleFlowGenerator - Creating Vehicle: time=77000000000,name=veh_12,route=r_0,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:09:45,672 INFO  VehicleFlowGenerator - Creating Vehicle: time=77000000000,name=veh_13,route=r_2,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:09:45,672 INFO  VehicleFlowGenerator - Creating Vehicle: time=77000000000,name=veh_14,route=r_1,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:09:45,672 INFO  VehicleFlowGenerator - Creating Vehicle: time=77000000000,name=veh_15,route=r_4,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:09:45,672 INFO  VehicleFlowGenerator - Creating Vehicle: time=77000000000,name=veh_16,route=r_3,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:09:45,672 INFO  VehicleFlowGenerator - Creating Vehicle: time=77000000000,name=veh_17,route=r_5,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:09:56,476 INFO  VehicleFlowGenerator - Creating Vehicle: time=113000000000,name=veh_18,route=r_0,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:09:56,476 INFO  VehicleFlowGenerator - Creating Vehicle: time=113000000000,name=veh_19,route=r_2,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:09:56,476 INFO  VehicleFlowGenerator - Creating Vehicle: time=113000000000,name=veh_20,route=r_1,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:09:56,476 INFO  VehicleFlowGenerator - Creating Vehicle: time=113000000000,name=veh_21,route=r_4,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:09:56,477 INFO  VehicleFlowGenerator - Creating Vehicle: time=113000000000,name=veh_22,route=r_3,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:09:56,477 INFO  VehicleFlowGenerator - Creating Vehicle: time=113000000000,name=veh_23,route=r_5,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
